id;Response
379640;1
74805;1
173688;1
182692;0
280839;1
291040;1
326242;0
316701;1
220505;0
133658;0
41517;1
68861;0
80237;0
48459;0
255299;1
228422;0
312152;0
363778;1
19488;0
166392;0
86479;1
325638;0
360249;0
139255;0
20527;1
330449;0
87223;0
329916;0
271339;0
183268;1
202291;0
325582;0
199341;0
335425;1
131479;0
200518;0
320828;0
207832;1
112011;1
330572;1
159910;1
102031;1
265823;0
339614;1
234957;0
244233;1
322536;0
48523;1
49435;1
151192;1
233840;0
18026;0
36710;1
257305;1
48657;0
171665;1
273473;1
266711;1
218704;0
32047;0
150857;1
110895;0
356005;0
145755;1
258452;1
117704;0
63666;0
332926;1
206330;1
123611;0
320105;1
268880;1
78920;1
208217;0
55844;1
311206;0
28659;1
169554;0
195464;1
158821;1
10635;0
90001;1
147536;0
356520;1
262043;1
298363;0
85794;1
379692;0
83894;0
68597;0
338416;1
260636;0
300050;0
85454;1
348324;1
169351;0
154401;1
377072;1
91156;1
86062;0
74497;1
349286;0
268951;1
280934;0
144297;1
352231;0
181775;0
42524;0
25648;1
4460;1
17473;0
284008;0
11853;0
143012;0
366122;0
282826;1
213925;0
134838;1
346140;1
52280;0
281018;0
379745;0
144927;0
50790;1
252770;1
53786;0
128917;1
123366;0
51605;1
168994;0
296161;1
149128;0
308043;0
190256;0
22278;1
171720;1
135727;0
233622;0
207872;0
281048;1
342320;1
329078;1
234360;1
343261;1
145084;0
257678;1
163422;1
144431;0
17412;0
249147;0
326865;1
137578;0
178193;1
248267;0
31511;0
191920;0
53965;1
213363;1
218423;1
280875;0
64919;1
84534;1
280715;1
114890;0
356362;1
26958;0
264093;1
175364;1
323213;0
179669;0
119587;1
90176;0
53872;1
181639;0
27817;1
3551;0
125541;0
323373;1
151576;1
238022;0
161093;0
30910;1
19913;0
23667;0
45801;1
122703;0
35966;1
116986;0
251910;1
163176;1
154934;1
359965;0
148701;0
378409;0
208130;1
355613;0
40571;1
104198;0
11825;1
238076;0
125527;0
256228;1
100616;0
215591;1
128257;1
352688;0
152008;0
333040;0
83461;1
338560;1
176674;1
266116;0
199015;0
234923;1
138179;0
140589;0
329603;0
127724;1
75193;1
333296;0
249986;1
296216;1
109174;1
13691;0
25043;0
134700;1
277889;1
343604;1
209153;0
380338;0
110017;0
144609;1
141015;1
47435;0
29828;0
216617;1
252093;0
239826;1
157934;1
364594;1
234984;1
362481;1
258307;1
328403;0
309360;0
2154;1
171761;0
340506;1
27882;0
300301;1
237425;0
176554;0
8320;1
327465;1
136539;0
1489;1
345131;1
195846;0
235864;0
119129;0
60466;0
316835;1
279149;1
300869;0
320247;0
83149;1
3007;0
90706;1
76683;1
100274;0
47167;1
338361;0
14619;1
196619;0
319584;1
17605;1
193150;0
121656;0
81687;1
222724;0
258387;1
262329;1
91149;0
128325;1
285371;1
